ID,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
000000001111_lowest-conformer,0.4144559999999996,-1.5688320000000004,2.36375
000000010111_lowest-conformer,0.49154399999999976,-1.5840360000000004,2.40455
000000011011_lowest-conformer,0.5370400000000001,-1.5850440000000003,2.39435
000000011101_lowest-conformer,0.4887279999999993,-1.5754680000000003,2.3221000000000003
000000011110_lowest-conformer,0.3878799999999999,-1.5750480000000002,2.2634499999999997
000000100111_lowest-conformer,0.5658159999999994,-1.5864720000000003,2.44705
000000101011_lowest-conformer,0.6268879999999993,-1.5791640000000002,2.4751000000000003
000000101101_lowest-conformer,0.5819199999999993,-1.581096,2.3764999999999996
000000101110_lowest-conformer,0.4802799999999995,-1.589916,2.3084999999999996
000000110011_lowest-conformer,0.6134239999999994,-1.5917640000000004,2.45045
000000110101_lowest-conformer,0.5923039999999994,-1.5897480000000002,2.37565
000000110110_lowest-conformer,0.5153919999999996,-1.5940320000000003,2.3442
000000111001_lowest-conformer,0.49867199999999956,-1.6047000000000002,2.3178500000000004
000000111010_lowest-conformer,0.46479199999999954,-1.5965520000000004,2.2932
000000111100_lowest-conformer,0.37776,-1.5904200000000004,2.2337
000001000111_lowest-conformer,0.5902799999999995,-1.5771480000000004,2.4547
000001001011_lowest-conformer,0.660152,-1.5921000000000003,2.48105
000001001101_lowest-conformer,0.6262719999999999,-1.585884,2.4028500000000004
000001001110_lowest-conformer,0.5382719999999995,-1.5756360000000003,2.334
000001010011_lowest-conformer,0.6944719999999996,-1.5978120000000005,2.50145
000001010101_lowest-conformer,0.6787199999999997,-1.5978960000000002,2.47255
000001010110_lowest-conformer,0.59776,-1.5915960000000005,2.38925
000001011001_lowest-conformer,0.5980239999999993,-1.5989040000000005,2.37565
000001011010_lowest-conformer,0.5521759999999999,-1.5966360000000002,2.3493
000001011100_lowest-conformer,0.46329599999999993,-1.5947040000000001,2.2864
000001100011_lowest-conformer,0.6454559999999998,-1.592772,2.4547
000001100101_lowest-conformer,0.6519679999999994,-1.6049520000000002,2.39435
000001100110_lowest-conformer,0.5982879999999995,-1.5921840000000005,2.3935
000001101001_lowest-conformer,0.6067359999999994,-1.5987360000000002,2.3459
000001101010_lowest-conformer,0.5880799999999998,-1.5926880000000003,2.33145
000001101100_lowest-conformer,0.5206719999999999,-1.5931080000000002,2.32635
000001110001_lowest-conformer,0.5050959999999994,-1.6140240000000003,2.3136
000001110010_lowest-conformer,0.493128,-1.6085640000000003,2.27535
000001110100_lowest-conformer,0.4545839999999999,-1.6039440000000003,2.2609
000001111000_lowest-conformer,0.38699999999999957,-1.5894960000000005,2.2405
000010000111_lowest-conformer,0.6003119999999995,-1.57824,2.487
000010001011_lowest-conformer,0.6722959999999998,-1.5894120000000003,2.4921
000010001101_lowest-conformer,0.6455439999999996,-1.5921840000000005,2.4351499999999997
000010001110_lowest-conformer,0.5422319999999996,-1.6077240000000006,2.368
000010010011_lowest-conformer,0.7253599999999996,-1.5923520000000004,2.5073999999999996
000010010101_lowest-conformer,0.7196399999999996,-1.60176,2.504
000010010110_lowest-conformer,0.6143919999999995,-1.606716,2.4258
000010011001_lowest-conformer,0.6696559999999997,-1.590252,2.41305
000010011010_lowest-conformer,0.6068239999999999,-1.5940320000000003,2.3782
000010011100_lowest-conformer,0.5094959999999994,-1.6023480000000003,2.3169999999999997
000010100011_lowest-conformer,0.7156799999999995,-1.6029360000000004,2.4836
000010100101_lowest-conformer,0.7315199999999993,-1.6051200000000003,2.52185
000010100110_lowest-conformer,0.6484479999999999,-1.6052040000000003,2.44025
000010101001_lowest-conformer,0.7036239999999995,-1.5947880000000003,2.4453500000000004
000010101010_lowest-conformer,0.6536399999999994,-1.6125120000000006,2.4223999999999997
000010101100_lowest-conformer,0.5830639999999998,-1.6236840000000001,2.3926499999999997
000010110001_lowest-conformer,0.6049759999999996,-1.6057080000000004,2.35185
000010110010_lowest-conformer,0.5987279999999993,-1.6058760000000003,2.3561
000010110100_lowest-conformer,0.5386239999999994,-1.6167120000000004,2.3178500000000004
000010111000_lowest-conformer,0.4543199999999997,-1.6142760000000005,2.2804499999999996
000011000011_lowest-conformer,0.655752,-1.5942840000000005,2.44195
000011000101_lowest-conformer,0.6865519999999994,-1.5949560000000003,2.37905
000011000110_lowest-conformer,0.6231039999999995,-1.6012560000000002,2.42325
000011001001_lowest-conformer,0.6649039999999998,-1.6183080000000003,2.3646
000011001010_lowest-conformer,0.6414959999999996,-1.6083120000000002,2.34335
000011001100_lowest-conformer,0.5707439999999996,-1.6138560000000002,2.3399499999999995
000011010001_lowest-conformer,0.6124559999999993,-1.6181400000000004,2.3663000000000003
000011010010_lowest-conformer,0.6007520000000001,-1.608816,2.31275
000011010100_lowest-conformer,0.578664,-1.6083120000000002,2.3042499999999997
000011011000_lowest-conformer,0.49963999999999964,-1.6154520000000003,2.3084999999999996
000011100001_lowest-conformer,0.5164479999999996,-1.6095720000000002,2.2966
000011100010_lowest-conformer,0.503512,-1.602096,2.2558
000011100100_lowest-conformer,0.48124799999999957,-1.6181400000000004,2.2388
000011101000_lowest-conformer,0.44305599999999945,-1.6172160000000004,2.2260500000000003
000011110000_lowest-conformer,0.35611199999999965,-1.6227600000000004,2.21585
000100000111_lowest-conformer,0.5676639999999997,-1.6069680000000002,2.5108
000100001011_lowest-conformer,0.6922719999999993,-1.6058760000000003,2.5465
000100001101_lowest-conformer,0.6639359999999997,-1.5885720000000003,2.4563999999999995
000100001110_lowest-conformer,0.559832,-1.5767280000000004,2.39605
