Smiles,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
c1ccc2c(c1)Cc1cc(-c3cnc(-c4ccc5c(c4)Cc4cc(-c6cnc(-c7ccc8c(c7)Cc7cc(-c9cnc(-c%10ccc%11c(c%10)Cc%10cc(-c%12cnccn%12)ccc%10-%11)cn9)ccc7-8)cn6)ccc4-5)cn3)ccc1-2,1.0131199999999996,-1.6535880000000003,2.9238999999999997
c1ccc2c(c1)sc1cc(-c3cnc(-c4ccc5c(c4)sc4cc(-c6cnc(-c7ccc8c(c7)sc7cc(-c9cnc(-c%10ccc%11c(c%10)sc%10cc(-c%12cnccn%12)ccc%10%11)cn9)ccc78)cn6)ccc45)cn3)ccc12,1.1007679999999993,-1.6152840000000004,3.00805
c1ccc2c(c1)[nH]c1cc(-c3cnc(-c4ccc5c(c4)[nH]c4cc(-c6cnc(-c7ccc8c(c7)[nH]c7cc(-c9cnc(-c%10ccc%11c(c%10)[nH]c%10cc(-c%12cnccn%12)ccc%10%11)cn9)ccc78)cn6)ccc45)cn3)ccc12,0.8995119999999994,-1.7874000000000003,2.9307
O=S1(=O)c2ccccc2-c2ccc(-c3cnc(-c4ccc5c(c4)S(=O)(=O)c4cc(-c6cnc(-c7ccc8c(c7)S(=O)(=O)c7cc(-c9cnc(-c%10ccc%11c(c%10)S(=O)(=O)c%10cc(-c%12cnccn%12)ccc%10-%11)cn9)ccc7-8)cn6)ccc4-5)cn3)cc21,1.267792,-1.4298960000000005,2.92645
O=C1c2ccccc2-c2ccc(-c3cnc(-c4ccc5c(c4)C(=O)c4cc(-c6cnc(-c7ccc8c(c7)C(=O)c7cc(-c9cnc(-c%10ccc%11c(c%10)C(=O)c%10cc(-c%12cnccn%12)ccc%10-%11)cn9)ccc7-8)cn6)ccc4-5)cn3)cc21,1.2749199999999998,-1.1621040000000005,2.4393999999999996
c1csc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)s6)s5)s4)s3)s2)c1,0.08735999999999994,-1.8120960000000002,2.05605
c1c[nH]c(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)[nH]7)s6)[nH]5)s4)[nH]3)s2)c1,-0.21016799999999997,-2.3703600000000002,2.1861
c1csc(-c2ccc3c(c2)Cc2cc(-c4ccc(-c5ccc6c(c5)Cc5cc(-c7ccc(-c8ccc9c(c8)Cc8cc(-c%10ccc(-c%11ccc%12c(c%11)Cc%11ccccc%11-%12)s%10)ccc8-9)s7)ccc5-6)s4)ccc2-3)c1,0.4315279999999997,-1.9831200000000002,2.5261
c1csc(-c2ccc3c(c2)sc2cc(-c4ccc(-c5ccc6c(c5)sc5cc(-c7ccc(-c8ccc9c(c8)sc8cc(-c%10ccc(-c%11ccc%12c(c%11)sc%11ccccc%11%12)s%10)ccc89)s7)ccc56)s4)ccc23)c1,0.5127519999999995,-1.9565760000000003,2.6221499999999995
c1csc(-c2ccc3c(c2)[nH]c2cc(-c4ccc(-c5ccc6c(c5)[nH]c5cc(-c7ccc(-c8ccc9c(c8)[nH]c8cc(-c%10ccc(-c%11ccc%12c(c%11)[nH]c%11ccccc%11%12)s%10)ccc89)s7)ccc56)s4)ccc23)c1,0.3541759999999995,-2.141712,2.6247
