ID,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
000011111111_lowest-conformer,1.0284319999999998,-1.8150360000000003,3.2095000000000002
000101111111_lowest-conformer,1.0356479999999995,-1.8917280000000003,3.2468999999999997
000110111111_lowest-conformer,1.0433919999999994,-1.9211280000000004,3.2537
000111011111_lowest-conformer,1.05052,-1.9449840000000005,3.2537
000111101111_lowest-conformer,1.0440960000000001,-1.9364160000000001,3.2715499999999995
000111110111_lowest-conformer,1.0465599999999997,-1.9384320000000004,3.29535
000111111011_lowest-conformer,1.0315999999999994,-1.9362480000000002,3.3038499999999997
000111111101_lowest-conformer,1.0148799999999993,-1.9357440000000004,3.2936499999999995
000111111110_lowest-conformer,1.0007999999999995,-1.9408680000000003,3.2876999999999996
001001111111_lowest-conformer,1.03776,-1.906176,3.2452
001010111111_lowest-conformer,1.0480559999999994,-1.9648080000000006,3.26985
001011011111_lowest-conformer,1.0496399999999997,-1.9803480000000004,3.26305
001011101111_lowest-conformer,1.0532479999999997,-1.9910160000000001,3.28175
001011110111_lowest-conformer,1.0436559999999995,-1.999332,3.3046999999999995
001011111011_lowest-conformer,1.0375839999999996,-1.9977360000000002,3.3097999999999996
001011111101_lowest-conformer,1.0235919999999994,-2.00958,3.3268
001011111110_lowest-conformer,1.0120639999999996,-2.008572,3.32
001100111111_lowest-conformer,1.0524559999999994,-1.9591800000000001,3.2834499999999998
001101011111_lowest-conformer,1.0586159999999998,-1.9957200000000004,3.3055499999999998
001101101111_lowest-conformer,1.0553599999999996,-2.0234400000000003,3.3233999999999995
001101110111_lowest-conformer,1.05316,-2.0289840000000003,3.3233999999999995
001101111011_lowest-conformer,1.0480559999999994,-2.043348,3.3523
001101111101_lowest-conformer,1.0381999999999998,-2.0451960000000007,3.35145
001101111110_lowest-conformer,1.0301919999999996,-2.0520000000000005,3.3438
001110011111_lowest-conformer,1.052544,-1.9666560000000002,3.2537
001110101111_lowest-conformer,1.0595839999999999,-2.0201640000000003,3.3344499999999995
001110110111_lowest-conformer,1.0565039999999992,-2.0402400000000003,3.34465
001110111011_lowest-conformer,1.0499919999999996,-2.0500680000000004,3.34295
001110111101_lowest-conformer,1.0403119999999995,-2.0688840000000006,3.3565500000000004
001110111110_lowest-conformer,1.0201599999999995,-2.0569560000000005,3.3276499999999998
001111001111_lowest-conformer,1.05316,-1.9787520000000005,3.2638999999999996
001111010111_lowest-conformer,1.0529839999999997,-2.0222640000000007,3.3285
001111011011_lowest-conformer,1.0508719999999998,-2.0501520000000006,3.3421
001111011101_lowest-conformer,1.037408,-2.0672880000000005,3.3573999999999997
001111011110_lowest-conformer,1.0327439999999999,-2.0794680000000003,3.3642
001111100111_lowest-conformer,1.042424,-1.988328,3.3013
001111101011_lowest-conformer,1.0301919999999996,-2.034192,3.3301999999999996
001111101101_lowest-conformer,1.0367039999999994,-2.069388,3.3684499999999997
001111101110_lowest-conformer,1.0205999999999993,-2.0757720000000006,3.3565500000000004
001111110011_lowest-conformer,1.031424,-1.9937880000000003,3.286
001111110101_lowest-conformer,1.0315119999999998,-2.06334,3.374399999999999
001111110110_lowest-conformer,1.0165519999999995,-2.0898840000000005,3.3591
001111111001_lowest-conformer,1.0173439999999998,-2.01966,3.3336
001111111010_lowest-conformer,1.0022959999999999,-2.0863560000000003,3.3642
001111111100_lowest-conformer,1.0011519999999994,-2.0842560000000003,3.3871499999999997
010001111111_lowest-conformer,1.0477039999999995,-1.8792120000000003,3.2298999999999993
010010111111_lowest-conformer,1.0565039999999992,-1.92684,3.218
010011011111_lowest-conformer,1.0631919999999992,-1.9749720000000002,3.2503
010011101111_lowest-conformer,1.0648639999999994,-1.9799280000000004,3.2621999999999995
010011110111_lowest-conformer,1.0549199999999999,-1.9714440000000002,3.2681499999999994
010011111011_lowest-conformer,1.0448879999999998,-1.983036,3.28175
010011111101_lowest-conformer,1.0313359999999994,-1.9841280000000001,3.27665
010011111110_lowest-conformer,1.0177839999999996,-1.9855560000000003,3.2621999999999995
010100111111_lowest-conformer,1.0618720000000001,-1.9357440000000004,3.2528500000000005
010101011111_lowest-conformer,1.0530719999999996,-1.9800960000000003,3.2596499999999997
010101101111_lowest-conformer,1.0691759999999995,-2.015124,3.3038499999999997
010101110111_lowest-conformer,1.0711119999999996,-2.041164,3.3148999999999997
010101111011_lowest-conformer,1.0471759999999999,-2.0304960000000003,3.3029999999999995
010101111101_lowest-conformer,1.0455919999999996,-2.0638440000000005,3.3455000000000004
010101111110_lowest-conformer,1.01796,-2.0358720000000003,3.3021499999999993
010110011111_lowest-conformer,1.0618720000000001,-1.9708560000000002,3.2621999999999995
010110101111_lowest-conformer,1.0718159999999997,-2.0358720000000003,3.32255
010110110111_lowest-conformer,1.0633679999999996,-2.0472960000000002,3.3208500000000005
010110111011_lowest-conformer,1.0579999999999996,-2.0562840000000002,3.3166
010110111101_lowest-conformer,1.0466479999999996,-2.080476,3.3412499999999996
010110111110_lowest-conformer,1.0332719999999995,-2.06964,3.3251000000000004
010111001111_lowest-conformer,1.0596719999999997,-1.992444,3.2656
010111010111_lowest-conformer,1.0626639999999998,-2.0332680000000005,3.286
010111011011_lowest-conformer,1.0552719999999998,-2.0692200000000005,3.33275
010111011101_lowest-conformer,1.0485839999999997,-2.090472,3.3608000000000002
010111011110_lowest-conformer,1.0331839999999997,-2.0906400000000005,3.3497500000000002
010111100111_lowest-conformer,1.0521039999999995,-2.00496,3.2893999999999997
010111101011_lowest-conformer,1.0448,-2.0451960000000007,3.3191499999999996
010111101101_lowest-conformer,1.0462959999999997,-2.0905560000000003,3.3642
010111101110_lowest-conformer,1.0402239999999998,-2.104668,3.3591
010111110011_lowest-conformer,1.0417199999999993,-2.014704,3.28515
010111110101_lowest-conformer,1.0321279999999997,-2.069052,3.3472
010111110110_lowest-conformer,1.0264079999999998,-2.111052,3.35315
010111111001_lowest-conformer,1.0208639999999995,-2.044776,3.3395499999999996
010111111010_lowest-conformer,1.0219199999999993,-2.1154200000000003,3.37355
011000111111_lowest-conformer,1.0613439999999996,-1.8768600000000002,3.2154499999999997
011001011111_lowest-conformer,1.0675039999999993,-1.9677480000000003,3.28005
011001101111_lowest-conformer,1.06592,-1.9717800000000003,3.25625
011001110111_lowest-conformer,1.0665359999999993,-2.008236,3.2843
011001111011_lowest-conformer,1.0663599999999998,-2.017056,3.2928
011001111101_lowest-conformer,1.0499039999999997,-2.0125200000000003,3.2843
011001111110_lowest-conformer,1.038112,-2.0132760000000003,3.2944999999999998
011010011111_lowest-conformer,1.0646,-1.9480080000000004,3.2443500000000003
011010101111_lowest-conformer,1.0710239999999998,-2.0052960000000004,3.286
011010110111_lowest-conformer,1.0653039999999998,-2.0226000000000006,3.26985
011010111011_lowest-conformer,1.0643359999999997,-2.050656,3.3038499999999997
011010111101_lowest-conformer,1.0450639999999993,-2.052588,3.2911
011010111110_lowest-conformer,1.0341519999999997,-2.0630880000000005,3.3004499999999997
011011001111_lowest-conformer,1.0653919999999997,-1.9838760000000004,3.2460500000000003
011011010111_lowest-conformer,1.0660079999999998,-2.0316720000000004,3.28515
011011011011_lowest-conformer,1.06328,-2.064852,3.3072499999999994
011011011101_lowest-conformer,1.0504319999999994,-2.0823240000000003,3.32425
011011011110_lowest-conformer,1.0389919999999995,-2.09778,3.3183000000000002
011011100111_lowest-conformer,1.0571199999999994,-1.9973160000000003,3.26135
011011101011_lowest-conformer,1.0511359999999992,-2.0499,3.3115
011011101101_lowest-conformer,1.0466479999999996,-2.0906400000000005,3.3259499999999997
011011101110_lowest-conformer,1.038816,-2.110212,3.33105
011011110011_lowest-conformer,1.048144,-2.0216760000000003,3.29195
011011110101_lowest-conformer,1.039432,-2.0840880000000004,3.3506000000000005
011011110110_lowest-conformer,1.0295759999999996,-2.1174360000000005,3.3344499999999995
011011111001_lowest-conformer,1.0240319999999998,-2.053932,3.3438
011100011111_lowest-conformer,1.061256,-1.8812280000000001,3.1941999999999995
011100101111_lowest-conformer,1.0639839999999998,-1.957416,3.2443500000000003
011100110111_lowest-conformer,1.063896,-1.9879920000000002,3.2349999999999994
011100111011_lowest-conformer,1.0606399999999998,-2.0020200000000004,3.2358499999999997
011100111101_lowest-conformer,1.0446239999999996,-2.0149560000000006,3.25625
011100111110_lowest-conformer,1.0389919999999995,-2.0234400000000003,3.24945
011101001111_lowest-conformer,1.065656,-1.9591800000000001,3.2324499999999996
011101010111_lowest-conformer,1.0675039999999993,-2.008992,3.2605
011101011011_lowest-conformer,1.056856,-2.0421720000000003,3.2664499999999994
011101011101_lowest-conformer,1.0557119999999995,-2.0708160000000007,3.2885500000000003
011101011110_lowest-conformer,1.040136,-2.088792,3.3081
011101100111_lowest-conformer,1.062312,-1.9873200000000002,3.2715499999999995
011101101011_lowest-conformer,1.0634559999999995,-2.053932,3.3217
011101101101_lowest-conformer,1.0482319999999998,-2.0849280000000006,3.3191499999999996
011101101110_lowest-conformer,1.0423359999999995,-2.1071040000000005,3.3097999999999996
011101110011_lowest-conformer,1.0554479999999995,-2.0293200000000002,3.3148999999999997
011101110101_lowest-conformer,1.04612,-2.0934120000000003,3.3709999999999996
011101111001_lowest-conformer,1.0345919999999995,-2.0524200000000006,3.3386999999999993
011110001111_lowest-conformer,1.0626639999999998,-1.8956760000000004,3.1992999999999996
011110010111_lowest-conformer,1.0591439999999994,-1.9514520000000002,3.2163
011110011011_lowest-conformer,1.05052,-1.9900920000000004,3.2256499999999995
011110011101_lowest-conformer,1.052544,-2.0209200000000003,3.2367000000000004
011110011110_lowest-conformer,1.0363519999999993,-2.033436,3.24945
011110100111_lowest-conformer,1.0552719999999998,-1.9546440000000003,3.2664499999999994
011110101011_lowest-conformer,1.0527199999999994,-2.019744,3.2944999999999998
011110101101_lowest-conformer,1.0410159999999995,-2.0538480000000003,3.2944999999999998
011110110011_lowest-conformer,1.0422479999999996,-2.001264,3.27495
011110110101_lowest-conformer,1.0455919999999996,-2.072664,3.3472
011110111001_lowest-conformer,1.0359119999999995,-2.0523360000000004,3.34805
011111000111_lowest-conformer,1.0407520000000001,-1.8871080000000002,3.22735
011111001011_lowest-conformer,1.041104,-1.9694280000000002,3.2689999999999997
011111001101_lowest-conformer,1.0299279999999995,-2.0042880000000003,3.26985
011111010011_lowest-conformer,1.034064,-1.9632120000000004,3.2384
011111010101_lowest-conformer,1.035736,-2.04402,3.3132
011111011001_lowest-conformer,1.022008,-2.0339400000000003,3.33275
011111100011_lowest-conformer,1.0309839999999995,-1.8987000000000005,3.1806
011111100101_lowest-conformer,1.0272879999999993,-1.9816920000000002,3.2443500000000003
011111101001_lowest-conformer,1.012592,-1.9923600000000004,3.2724
011111110001_lowest-conformer,1.0036159999999998,-1.9344840000000003,3.26135
100001111111_lowest-conformer,1.046472,-1.7959680000000005,3.1687000000000003
100010111111_lowest-conformer,1.05756,-1.8576240000000004,3.1780500000000003
100011011111_lowest-conformer,1.0660079999999998,-1.8843360000000005,3.1823
100011101111_lowest-conformer,1.0648639999999994,-1.9010520000000002,3.1950499999999997
100011110111_lowest-conformer,1.0530719999999996,-1.9054200000000006,3.22395
100011111011_lowest-conformer,1.03908,-1.9004640000000004,3.2281999999999997
100011111101_lowest-conformer,1.0393439999999994,-1.9089480000000005,3.2452
100100111111_lowest-conformer,1.0573839999999997,-1.8857640000000004,3.2035499999999995
100101011111_lowest-conformer,1.0731359999999996,-1.9309560000000003,3.2248
100101101111_lowest-conformer,1.0737519999999998,-1.9841280000000001,3.2689999999999997
100101110111_lowest-conformer,1.0677679999999996,-1.9664880000000002,3.2605
100101111011_lowest-conformer,1.0585280000000001,-1.9766520000000005,3.2741
100101111101_lowest-conformer,1.0479679999999996,-1.971024,3.2706999999999993
100110011111_lowest-conformer,1.069,-1.9230600000000004,3.2443500000000003
100110101111_lowest-conformer,1.0718159999999997,-1.9680000000000002,3.2681499999999994
100110110111_lowest-conformer,1.0722559999999992,-1.9961400000000002,3.2826000000000004
100110111011_lowest-conformer,1.0664479999999996,-2.008236,3.2809
100110111101_lowest-conformer,1.05316,-2.0103360000000006,3.2834499999999998
100111001111_lowest-conformer,1.0689119999999992,-1.95246,3.2588
100111010111_lowest-conformer,1.0675039999999993,-1.9908480000000002,3.2962
100111011011_lowest-conformer,1.060904,-2.005212,3.2868500000000003
100111011101_lowest-conformer,1.060904,-2.0268000000000006,3.3097999999999996
100111100111_lowest-conformer,1.0643359999999997,-1.9590120000000002,3.27665
100111101011_lowest-conformer,1.0527199999999994,-1.9950480000000002,3.2826000000000004
100111101101_lowest-conformer,1.0515759999999998,-2.0225160000000004,3.3132
100111110011_lowest-conformer,1.0491119999999994,-1.9823640000000002,3.2987499999999996
100111110101_lowest-conformer,1.042424,-2.018064,3.2996
100111111001_lowest-conformer,1.0248239999999997,-1.993284,3.31235
101000111111_lowest-conformer,1.0629279999999999,-1.8491400000000002,3.1873999999999993
101001011111_lowest-conformer,1.0684719999999994,-1.9045800000000002,3.2095000000000002
101001101111_lowest-conformer,1.0777119999999998,-1.9442280000000003,3.24265
101001110111_lowest-conformer,1.0708479999999994,-1.9536360000000004,3.2486
101001111011_lowest-conformer,1.0652159999999993,-1.9557360000000004,3.2418000000000005
101001111101_lowest-conformer,1.0484959999999999,-1.9681680000000004,3.25625
101010011111_lowest-conformer,1.074984,-1.9210440000000002,3.2418000000000005
101010101111_lowest-conformer,1.082376,-1.9891680000000005,3.29195
101010110111_lowest-conformer,1.0786799999999999,-2.013528,3.3013
101010111011_lowest-conformer,1.0688239999999996,-2.011512,3.2775000000000003
101010111101_lowest-conformer,1.0604639999999994,-2.01966,3.2944999999999998
101011001111_lowest-conformer,1.0785039999999997,-1.9667400000000004,3.2503
101011010111_lowest-conformer,1.08,-2.0125200000000003,3.2962
101011011011_lowest-conformer,1.0641599999999993,-2.0289,3.2826000000000004
101011011101_lowest-conformer,1.067592,-2.063508,3.3369999999999997
101011100111_lowest-conformer,1.0738399999999995,-1.9856400000000003,3.2758
101011101011_lowest-conformer,1.0646,-2.0228520000000003,3.2885500000000003
101011101101_lowest-conformer,1.0524559999999994,-2.0504880000000005,3.31235
101011110011_lowest-conformer,1.0563279999999997,-1.9956360000000002,3.2876999999999996
101011110101_lowest-conformer,1.0403999999999993,-2.0397360000000004,3.3021499999999993
101100011111_lowest-conformer,1.0738399999999995,-1.8992880000000003,3.2443500000000003
101100101111_lowest-conformer,1.0762159999999994,-1.933896,3.22395
101100110111_lowest-conformer,1.0772719999999993,-1.9732920000000005,3.25625
101100111011_lowest-conformer,1.0697919999999996,-1.9905120000000003,3.252
101100111101_lowest-conformer,1.062576,-1.9989960000000002,3.2579499999999997
101101001111_lowest-conformer,1.0769199999999994,-1.9493520000000002,3.21375
101101010111_lowest-conformer,1.0861599999999998,-2.0228520000000003,3.2987499999999996
101101011011_lowest-conformer,1.0745439999999995,-2.030244,3.2706999999999993
101101011101_lowest-conformer,1.0616959999999998,-2.040408,3.26985
101101100111_lowest-conformer,1.0654799999999995,-1.9790040000000002,3.2588
101101101011_lowest-conformer,1.069,-2.028312,3.2792
101101101101_lowest-conformer,1.0653919999999997,-2.071656,3.31575
101101110011_lowest-conformer,1.0591439999999994,-2.008992,3.3004499999999997
101110001111_lowest-conformer,1.0665359999999993,-1.8912240000000005,3.1848500000000004
101110010111_lowest-conformer,1.069616,-1.9480080000000004,3.1950499999999997
101110011011_lowest-conformer,1.07032,-1.9871520000000003,3.21205
101110011101_lowest-conformer,1.057912,-2.0105880000000003,3.2231
101110100111_lowest-conformer,1.0689119999999992,-1.9482600000000003,3.2316
101110101011_lowest-conformer,1.0654799999999995,-2.0115960000000004,3.2715499999999995
101110110011_lowest-conformer,1.0557119999999995,-1.9953000000000003,3.2792
101111000111_lowest-conformer,1.0617839999999994,-1.8934080000000002,3.23925
101111001011_lowest-conformer,1.0563279999999997,-1.98144,3.2876999999999996
101111010011_lowest-conformer,1.0530719999999996,-1.9612800000000001,3.2435
101111100011_lowest-conformer,1.0395199999999998,-1.9028160000000003,3.1899499999999996
110000111111_lowest-conformer,1.0652159999999993,-1.8040320000000003,3.1584999999999996
110001011111_lowest-conformer,1.0732239999999993,-1.8520800000000002,3.1678499999999996
110001101111_lowest-conformer,1.0754239999999997,-1.8747600000000002,3.1806
110001110111_lowest-conformer,1.07032,-1.9056720000000003,3.2213999999999996
110001111011_lowest-conformer,1.072608,-1.9018920000000001,3.22225
110010011111_lowest-conformer,1.0755119999999996,-1.8735840000000004,3.20695
110010101111_lowest-conformer,1.0826399999999994,-1.9244040000000002,3.22735
110010110111_lowest-conformer,1.0832559999999996,-1.953888,3.2460500000000003
110010111011_lowest-conformer,1.0743679999999998,-1.9613640000000003,3.2460500000000003
110011001111_lowest-conformer,1.0829919999999993,-1.9294440000000004,3.2605
110011010111_lowest-conformer,1.084048,-1.9665720000000004,3.2638999999999996
110011011011_lowest-conformer,1.0792959999999994,-1.9913520000000002,3.2706999999999993
110011100111_lowest-conformer,1.075688,-1.9487640000000002,3.24945
110011101011_lowest-conformer,1.073312,-1.9907640000000004,3.2724
110011110011_lowest-conformer,1.0667999999999995,-1.9821960000000003,3.2944999999999998
110100011111_lowest-conformer,1.0795599999999994,-1.8603120000000004,3.2060999999999997
110100101111_lowest-conformer,1.0735759999999994,-1.9004640000000004,3.20185
110100110111_lowest-conformer,1.0742800000000001,-1.9331400000000003,3.2298999999999993
110100111011_lowest-conformer,1.0721679999999996,-1.9498560000000003,3.2375499999999997
110101001111_lowest-conformer,1.079384,-1.9464120000000005,3.25625
110101010111_lowest-conformer,1.083344,-1.9868160000000004,3.2792
110101011011_lowest-conformer,1.0789439999999995,-2.0050440000000003,3.2783499999999997
110101100111_lowest-conformer,1.0819359999999993,-1.9675800000000003,3.24945
110101101011_lowest-conformer,1.0715519999999994,-2.0034480000000006,3.2656
110110001111_lowest-conformer,1.0784159999999998,-1.8887880000000004,3.18825
110110010111_lowest-conformer,1.0795599999999994,-1.948932,3.20865
110110011011_lowest-conformer,1.0708479999999994,-1.9727880000000002,3.218
110110100111_lowest-conformer,1.0768319999999996,-1.9431360000000002,3.2316
110111000111_lowest-conformer,1.062224,-1.8834960000000005,3.2231
111000011111_lowest-conformer,1.0719039999999993,-1.8146160000000002,3.218
111000101111_lowest-conformer,1.0752479999999993,-1.8454440000000003,3.2027
111000110111_lowest-conformer,1.076656,-1.8776160000000004,3.2196999999999996
111001001111_lowest-conformer,1.076304,-1.8946680000000002,3.2468999999999997
111001010111_lowest-conformer,1.0789439999999995,-1.9294440000000004,3.24265
111001100111_lowest-conformer,1.0815839999999994,-1.9328880000000002,3.2596499999999997
111010001111_lowest-conformer,1.0760399999999999,-1.8604800000000004,3.1958999999999995
111010010111_lowest-conformer,1.0673279999999998,-1.9044120000000002,3.19335
111100001111_lowest-conformer,1.0617839999999994,-1.8026880000000005,3.1568
