ID,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
000000001111_lowest-conformer,1.1746879999999997,-1.6249440000000002,3.0463
000000010111_lowest-conformer,1.174952,-1.6498080000000006,3.0616000000000003
000000011011_lowest-conformer,1.1737199999999997,-1.6442640000000002,3.0701
000000011101_lowest-conformer,1.1602559999999997,-1.6544280000000002,3.0768999999999997
000000011110_lowest-conformer,1.1382559999999995,-1.6469520000000004,3.065
000000100111_lowest-conformer,1.1845439999999994,-1.67652,3.0837
000000101011_lowest-conformer,1.177328,-1.6783680000000003,3.0956
000000101101_lowest-conformer,1.1650079999999996,-1.6877760000000004,3.0989999999999998
000000101110_lowest-conformer,1.144064,-1.6710600000000002,3.08285
000000110011_lowest-conformer,1.177328,-1.6842480000000004,3.1058
000000110101_lowest-conformer,1.1669439999999998,-1.6955040000000001,3.11345
000000110110_lowest-conformer,1.1475839999999997,-1.6834920000000002,3.1075
000000111001_lowest-conformer,1.1528639999999999,-1.6958400000000002,3.12025
000000111010_lowest-conformer,1.1283999999999998,-1.6871880000000004,3.11175
000000111100_lowest-conformer,1.1174879999999994,-1.6853400000000005,3.0989999999999998
000001000111_lowest-conformer,1.1905279999999996,-1.6889520000000002,3.0871
000001001011_lowest-conformer,1.18164,-1.7028960000000002,3.09135
000001001101_lowest-conformer,1.1750399999999996,-1.7099520000000001,3.09645
000001001110_lowest-conformer,1.1555039999999999,-1.7280960000000003,3.0938999999999997
000001010011_lowest-conformer,1.1845439999999994,-1.7290200000000002,3.1364
000001010101_lowest-conformer,1.1647439999999996,-1.720536,3.11175
000001010110_lowest-conformer,1.16052,-1.7339760000000002,3.1296000000000004
000001011001_lowest-conformer,1.1652719999999999,-1.7443080000000002,3.1431999999999998
000001011010_lowest-conformer,1.1502239999999997,-1.7502720000000003,3.14235
000001011100_lowest-conformer,1.1283999999999998,-1.7239800000000003,3.1092
000001100011_lowest-conformer,1.173896,-1.7123040000000003,3.1321499999999998
000001100101_lowest-conformer,1.1710799999999995,-1.7396880000000001,3.1491499999999997
000001100110_lowest-conformer,1.1519839999999995,-1.7314560000000006,3.12705
000001101001_lowest-conformer,1.1525999999999996,-1.7417040000000004,3.1449
000001101010_lowest-conformer,1.1375519999999995,-1.7443080000000002,3.14235
000001101100_lowest-conformer,1.1377279999999999,-1.7432160000000003,3.1474499999999996
000001110001_lowest-conformer,1.1405439999999996,-1.7249880000000002,3.15
000001110010_lowest-conformer,1.1307759999999998,-1.7385120000000005,3.1474499999999996
000001110100_lowest-conformer,1.1188079999999994,-1.7545560000000002,3.1601999999999997
000001111000_lowest-conformer,1.1034079999999995,-1.7450640000000004,3.1568
000010000111_lowest-conformer,1.19,-1.692816,3.1236499999999996
000010001011_lowest-conformer,1.1832239999999994,-1.7128080000000003,3.1211
000010001101_lowest-conformer,1.1797919999999995,-1.7317920000000004,3.1296000000000004
000010001110_lowest-conformer,1.1634239999999993,-1.7338080000000002,3.1262
000010010011_lowest-conformer,1.183312,-1.746156,3.13895
000010010101_lowest-conformer,1.1679999999999997,-1.746744,3.12535
000010010110_lowest-conformer,1.1612239999999998,-1.7567400000000004,3.12705
000010011001_lowest-conformer,1.1656239999999998,-1.7585040000000005,3.1338500000000002
000010011010_lowest-conformer,1.149432,-1.7614440000000002,3.1279
000010011100_lowest-conformer,1.137024,-1.7598480000000003,3.1228
000010100011_lowest-conformer,1.1825199999999996,-1.7369160000000003,3.1415
000010100101_lowest-conformer,1.1740719999999996,-1.7646360000000003,3.15085
000010100110_lowest-conformer,1.1607839999999994,-1.7709360000000003,3.1576499999999994
000010101001_lowest-conformer,1.167296,-1.7773200000000002,3.1618999999999993
000010101010_lowest-conformer,1.1600799999999993,-1.8023520000000004,3.17975
000010101100_lowest-conformer,1.1348239999999996,-1.7856360000000002,3.1533999999999995
000010110001_lowest-conformer,1.1537439999999992,-1.7595960000000002,3.15255
000010110010_lowest-conformer,1.1445039999999997,-1.7913480000000004,3.1627499999999995
