ID,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
000000111111_lowest-conformer,1.0889759999999995,-1.6887000000000003,3.0973
000001011111_lowest-conformer,1.0923199999999995,-1.7193600000000002,3.1041
000001101111_lowest-conformer,1.096808,-1.737,3.1321499999999998
000001110111_lowest-conformer,1.0980399999999995,-1.7417880000000001,3.13895
000001111011_lowest-conformer,1.0897679999999998,-1.7418720000000003,3.1635999999999997
000001111101_lowest-conformer,1.0718159999999997,-1.7353200000000004,3.15255
000001111110_lowest-conformer,1.051224,-1.7333880000000004,3.14235
000010011111_lowest-conformer,1.1078959999999998,-1.7592600000000003,3.1126000000000005
000010101111_lowest-conformer,1.1045519999999998,-1.7881560000000003,3.1483000000000003
000010110111_lowest-conformer,1.1037599999999994,-1.7968920000000002,3.1695499999999996
000010111011_lowest-conformer,1.102528,-1.8018480000000001,3.1755
000010111101_lowest-conformer,1.0844,-1.7958000000000005,3.1635999999999997
000010111110_lowest-conformer,1.0717279999999998,-1.7984040000000003,3.1755
000011001111_lowest-conformer,1.1111519999999993,-1.7975640000000004,3.1279
000011010111_lowest-conformer,1.1041999999999998,-1.8068880000000003,3.1576499999999994
000011011011_lowest-conformer,1.100152,-1.8166320000000005,3.1763500000000002
000011011101_lowest-conformer,1.0939039999999998,-1.8224280000000004,3.1831499999999995
000011011110_lowest-conformer,1.0689119999999992,-1.8150360000000003,3.1542499999999998
000011100111_lowest-conformer,1.1066639999999996,-1.8061320000000003,3.1891000000000003
000011101011_lowest-conformer,1.1047279999999995,-1.8187320000000002,3.2112
000011101101_lowest-conformer,1.0909119999999997,-1.8284760000000004,3.2035499999999995
000011101110_lowest-conformer,1.0770959999999998,-1.8242760000000005,3.1891000000000003
000011110011_lowest-conformer,1.0887999999999998,-1.8073920000000003,3.2009999999999996
000011110101_lowest-conformer,1.081672,-1.8166320000000005,3.20695
000011110110_lowest-conformer,1.0769199999999994,-1.8378840000000005,3.2443500000000003
000011111001_lowest-conformer,1.0630159999999997,-1.8145320000000005,3.2154499999999997
000011111010_lowest-conformer,1.055888,-1.8183120000000002,3.2196999999999996
000011111100_lowest-conformer,1.0403999999999993,-1.8225120000000006,3.2146000000000003
000100011111_lowest-conformer,1.1032319999999998,-1.7671560000000004,3.15085
000100101111_lowest-conformer,1.1181919999999994,-1.8197400000000001,3.1788999999999996
000100110111_lowest-conformer,1.1166959999999997,-1.8252840000000004,3.1967499999999998
000100111011_lowest-conformer,1.1085999999999998,-1.8321720000000004,3.1941999999999995
000100111101_lowest-conformer,1.0885359999999997,-1.8299880000000002,3.2027
000100111110_lowest-conformer,1.0748959999999994,-1.8309120000000003,3.18825
000101001111_lowest-conformer,1.1197759999999994,-1.8347760000000002,3.1856999999999998
000101010111_lowest-conformer,1.1181919999999994,-1.8637560000000002,3.2044
000101011011_lowest-conformer,1.1044640000000001,-1.8606480000000003,3.1950499999999997
000101011101_lowest-conformer,1.0987439999999993,-1.8717360000000003,3.2027
000101011110_lowest-conformer,1.0908239999999998,-1.8767760000000004,3.2095000000000002
000101100111_lowest-conformer,1.114232,-1.8528360000000004,3.2044
