ID,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
000111111111_lowest-conformer,0.9961359999999992,-1.9355760000000004,3.2826000000000004
001011111111_lowest-conformer,1.0096879999999997,-2.013108,3.3233999999999995
001101111111_lowest-conformer,1.0198959999999995,-2.0439360000000004,3.33785
001110111111_lowest-conformer,1.0250879999999998,-2.06208,3.3344499999999995
001111011111_lowest-conformer,1.0188399999999995,-2.0711520000000005,3.3438
001111101111_lowest-conformer,1.0197199999999997,-2.0838360000000002,3.3829
001111110111_lowest-conformer,1.0091599999999994,-2.0932440000000003,3.3658999999999994
001111111011_lowest-conformer,0.9993919999999996,-2.086608,3.3642
001111111101_lowest-conformer,1.0067839999999995,-2.117604,3.4203
001111111110_lowest-conformer,0.9856639999999994,-2.1158400000000004,3.4041499999999996
010011111111_lowest-conformer,1.025704,-1.9935360000000002,3.2809
010101111111_lowest-conformer,1.0272879999999993,-2.0385600000000004,3.31235
010110111111_lowest-conformer,1.0257919999999998,-2.0624160000000002,3.3191499999999996
010111011111_lowest-conformer,1.0339759999999993,-2.089632,3.3497500000000002
010111101111_lowest-conformer,1.0379359999999995,-2.108112,3.3829
010111110111_lowest-conformer,1.01928,-2.10198,3.3438
010111111011_lowest-conformer,1.0155839999999994,-2.1212160000000004,3.3676
010111111101_lowest-conformer,1.0069599999999999,-2.1365040000000004,3.3948
010111111110_lowest-conformer,0.9949039999999998,-2.1445680000000005,3.3871499999999997
011001111111_lowest-conformer,1.0248239999999997,-2.0152080000000003,3.2826000000000004
011010111111_lowest-conformer,1.0302799999999994,-2.0562840000000002,3.3166
011011011111_lowest-conformer,1.0415439999999998,-2.1008880000000003,3.3591
011011101111_lowest-conformer,1.041192,-2.1270120000000006,3.38375
011011110111_lowest-conformer,1.0379359999999995,-2.133984,3.3820499999999996
011011111011_lowest-conformer,1.0237679999999998,-2.1327240000000005,3.3548500000000003
011011111101_lowest-conformer,1.0111839999999994,-2.1470040000000004,3.3769499999999995
011011111110_lowest-conformer,0.9978959999999999,-2.1640560000000004,3.388
011100111111_lowest-conformer,1.032392,-2.0186520000000003,3.2826000000000004
011101011111_lowest-conformer,1.038112,-2.0691360000000003,3.3064
011101101111_lowest-conformer,1.03776,-2.1052560000000002,3.33275
011101110111_lowest-conformer,1.033448,-2.121804,3.3412499999999996
011101111011_lowest-conformer,1.0298399999999996,-2.1477600000000003,3.374399999999999
011101111101_lowest-conformer,1.0180479999999998,-2.1666600000000003,3.3777999999999997
011101111110_lowest-conformer,1.0051119999999996,-2.1759840000000006,3.37865
011110011111_lowest-conformer,1.0438319999999999,-2.0431800000000004,3.2638999999999996
011110101111_lowest-conformer,1.035472,-2.08896,3.3097999999999996
011110110111_lowest-conformer,1.0349439999999994,-2.1200400000000004,3.3361499999999995
011110111011_lowest-conformer,1.0286079999999995,-2.142468,3.3497500000000002
011110111101_lowest-conformer,1.0195439999999993,-2.165064,3.3506000000000005
011110111110_lowest-conformer,1.0120639999999996,-2.1841320000000004,3.33275
011111001111_lowest-conformer,1.0284319999999998,-2.0243640000000003,3.2843
011111010111_lowest-conformer,1.026672,-2.08812,3.33275
011111011011_lowest-conformer,1.0336239999999994,-2.1456600000000003,3.39565
011111011101_lowest-conformer,1.014264,-2.16918,3.38545
011111100111_lowest-conformer,1.0193679999999998,-2.0375520000000003,3.28175
011111101011_lowest-conformer,1.0150559999999997,-2.1004680000000002,3.3369999999999997
011111101101_lowest-conformer,1.011008,-2.1528840000000002,3.3812
011111110011_lowest-conformer,1.0072240000000001,-2.070396,3.3029999999999995
011111110101_lowest-conformer,1.0000079999999996,-2.1326400000000003,3.35315
011111111001_lowest-conformer,0.9932319999999999,-2.0963520000000004,3.3556999999999997
100011111111_lowest-conformer,1.0149679999999999,-1.9005480000000003,3.22735
100101111111_lowest-conformer,1.0343279999999995,-1.9719480000000003,3.26135
100110111111_lowest-conformer,1.0336239999999994,-2.0041200000000003,3.26305
100111011111_lowest-conformer,1.0396079999999996,-2.0344440000000006,3.29535
100111101111_lowest-conformer,1.035384,-2.0366280000000003,3.3055499999999998
100111110111_lowest-conformer,1.0386399999999996,-2.05032,3.3285
100111111011_lowest-conformer,1.0222719999999994,-2.0561160000000003,3.3318999999999996
100111111101_lowest-conformer,1.0161119999999997,-2.0559480000000003,3.3276499999999998
101001111111_lowest-conformer,1.0345039999999996,-1.9781640000000003,3.2775000000000003
101010111111_lowest-conformer,1.0420719999999992,-2.0224320000000002,3.29025
101011011111_lowest-conformer,1.0437439999999993,-2.0528400000000007,3.31065
101011101111_lowest-conformer,1.0448879999999998,-2.0684640000000005,3.3259499999999997
101011110111_lowest-conformer,1.0367039999999994,-2.0790480000000002,3.3259499999999997
101011111011_lowest-conformer,1.0319519999999995,-2.0951760000000004,3.3412499999999996
101011111101_lowest-conformer,1.016992,-2.098284,3.3438
101100111111_lowest-conformer,1.0447119999999994,-2.0110920000000005,3.3081
101101011111_lowest-conformer,1.0508719999999998,-2.0604000000000005,3.3268
101101101111_lowest-conformer,1.0480559999999994,-2.0787120000000003,3.32425
101101110111_lowest-conformer,1.0436559999999995,-2.1055080000000004,3.3438
101101111011_lowest-conformer,1.039432,-2.122644,3.3616499999999996
101101111101_lowest-conformer,1.0289599999999994,-2.13348,3.3820499999999996
101110011111_lowest-conformer,1.0426879999999994,-2.027388,3.2681499999999994
101110101111_lowest-conformer,1.0482319999999998,-2.0682120000000004,3.2843
101110110111_lowest-conformer,1.043128,-2.09652,3.31065
101110111011_lowest-conformer,1.0301919999999996,-2.1181920000000005,3.31575
101110111101_lowest-conformer,1.0280799999999999,-2.1446520000000002,3.3548500000000003
101111001111_lowest-conformer,1.0389039999999996,-2.0198280000000004,3.2724
101111010111_lowest-conformer,1.0376719999999995,-2.077704,3.3285
101111011011_lowest-conformer,1.0362639999999996,-2.1105480000000005,3.3361499999999995
101111100111_lowest-conformer,1.0248239999999997,-2.023524,3.2792
101111101011_lowest-conformer,1.0325679999999995,-2.093328,3.3421
101111110011_lowest-conformer,1.0224479999999998,-2.044608,3.286
110001111111_lowest-conformer,1.0422479999999996,-1.9002120000000002,3.2095000000000002
110010111111_lowest-conformer,1.046472,-1.9679160000000002,3.24265
110011011111_lowest-conformer,1.0492,-2.0087400000000004,3.2656
110011101111_lowest-conformer,1.0462079999999998,-2.0206680000000006,3.2741
110011110111_lowest-conformer,1.0396079999999996,-2.019156,3.2834499999999998
110011111011_lowest-conformer,1.0391679999999999,-2.041164,3.3004499999999997
110100111111_lowest-conformer,1.0432159999999997,-1.9509480000000003,3.25625
110101011111_lowest-conformer,1.0477039999999995,-2.010504,3.2885500000000003
110101101111_lowest-conformer,1.053512,-2.0457840000000003,3.3089500000000003
110101110111_lowest-conformer,1.04216,-2.0597280000000007,3.2928
110101111011_lowest-conformer,1.0419839999999996,-2.067876,3.3029999999999995
110110011111_lowest-conformer,1.0497279999999996,-1.9926120000000003,3.2384
110110101111_lowest-conformer,1.0506079999999998,-2.0445240000000005,3.27665
110110110111_lowest-conformer,1.05316,-2.090472,3.32425
110110111011_lowest-conformer,1.0413679999999994,-2.090388,3.3046999999999995
110111001111_lowest-conformer,1.0516639999999997,-2.0152920000000005,3.2715499999999995
110111010111_lowest-conformer,1.0446239999999996,-2.0604000000000005,3.2936499999999995
110111100111_lowest-conformer,1.0337999999999998,-2.019996,3.28005
111000111111_lowest-conformer,1.042776,-1.89324,3.2435
111001011111_lowest-conformer,1.0472639999999998,-1.9600200000000003,3.2638999999999996
111001101111_lowest-conformer,1.0550959999999994,-1.9950480000000002,3.27495
111001110111_lowest-conformer,1.0502559999999999,-2.0189880000000002,3.29195
111010011111_lowest-conformer,1.0462079999999998,-1.9509480000000003,3.22225
111010101111_lowest-conformer,1.0495519999999998,-2.010168,3.2724
111010110111_lowest-conformer,1.0484959999999999,-2.0451120000000005,3.2868500000000003
111011001111_lowest-conformer,1.0509599999999997,-1.9972320000000003,3.26305
111100011111_lowest-conformer,1.039432,-1.9029840000000002,3.2264999999999997
111100101111_lowest-conformer,1.03776,-1.951032,3.2213999999999996
