ID,Energy,Comp,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
conformer-0000,-169.4884496,phenylene-thiophene,0.3613919999999998,-1.8825720000000004,2.4096499999999996
conformer-0001,-169.4880398,phenylene-thiophene,0.3584879999999996,-1.8923160000000003,2.419
conformer-0002,-169.4880342,phenylene-thiophene,0.3588399999999995,-1.8865200000000002,2.4096499999999996
conformer-0003,-169.4882081,phenylene-thiophene,0.36323999999999945,-1.8840840000000003,2.41305
conformer-0004,-169.48820580000003,phenylene-thiophene,0.3590159999999999,-1.8848400000000003,2.4096499999999996
conformer-0005,-169.4881106,phenylene-thiophene,0.35831199999999996,-1.8893760000000002,2.4121999999999995
conformer-0006,-169.48851409999997,phenylene-thiophene,0.35725599999999935,-1.8777840000000003,2.3977500000000003
conformer-0007,-169.4884413,phenylene-thiophene,0.3561999999999994,-1.8808080000000005,2.40115
conformer-0008,-169.48850159999998,phenylene-thiophene,0.35593600000000003,-1.8803040000000004,2.39945
conformer-0009,-169.4883154,phenylene-thiophene,0.361656,-1.8811440000000004,2.4088
conformer-0010,-169.488364,phenylene-thiophene,0.3631519999999996,-1.8845040000000004,2.4105
conformer-0011,-169.4877874,phenylene-thiophene,0.3657039999999999,-1.8950040000000001,2.4309
conformer-0012,-169.48798359999998,phenylene-thiophene,0.3548799999999994,-1.8874440000000001,2.4071000000000002
conformer-0013,-169.4878207,phenylene-thiophene,0.36438399999999993,-1.8880320000000004,2.4173
conformer-0014,-169.48815380000002,phenylene-thiophene,0.3623599999999999,-1.8887040000000002,2.4156
conformer-0015,-169.488263,phenylene-thiophene,0.3561999999999994,-1.8836640000000004,2.40455
conformer-0016,-169.4883371,phenylene-thiophene,0.354264,-1.8816480000000002,2.4003
conformer-0017,-169.48803600000002,phenylene-thiophene,0.3591919999999995,-1.8852600000000004,2.4088
conformer-0018,-169.4879708,phenylene-thiophene,0.3623599999999999,-1.8866880000000001,2.4156
conformer-0019,-169.488338,phenylene-thiophene,0.35611199999999965,-1.8800520000000003,2.39945
conformer-0020,-169.4880835,phenylene-thiophene,0.36112799999999967,-1.8862680000000003,2.4105
conformer-0021,-169.4873273,phenylene-thiophene,0.3880559999999994,-1.9094520000000004,2.4785
conformer-0022,-169.48811,phenylene-thiophene,0.35593600000000003,-1.8870240000000005,2.40625
conformer-0023,-169.4883386,phenylene-thiophene,0.35707999999999973,-1.8814800000000003,2.4028500000000004
conformer-0024,-169.4875523,phenylene-thiophene,0.35707999999999973,-1.8892080000000002,2.41135
conformer-0025,-169.488279,phenylene-thiophene,0.35875199999999974,-1.8863520000000003,2.4105
conformer-0026,-169.4882614,phenylene-thiophene,0.35531999999999986,-1.8803880000000002,2.3986
conformer-0027,-169.4880865,phenylene-thiophene,0.35892799999999936,-1.8891240000000005,2.41305
conformer-0028,-169.4879955,phenylene-thiophene,0.36939999999999995,-1.8878640000000004,2.42495
conformer-0029,-169.487052,phenylene-thiophene,0.38400799999999946,-1.9121400000000002,2.47935
conformer-0030,-169.4879201,phenylene-thiophene,0.35989599999999944,-1.8875280000000003,2.4121999999999995
conformer-0031,-169.488233,phenylene-thiophene,0.3580479999999998,-1.8836640000000004,2.40625
conformer-0032,-169.48782980000001,phenylene-thiophene,0.35998399999999997,-1.8926520000000004,2.4223999999999997
conformer-0033,-169.4881196,phenylene-thiophene,0.3642959999999993,-1.8897960000000003,2.4241
conformer-0034,-169.4881267,phenylene-thiophene,0.3622719999999994,-1.8829920000000002,2.4088
conformer-0035,-169.48824309999998,phenylene-thiophene,0.35531999999999986,-1.8846720000000003,2.40455
conformer-0036,-169.4875349,phenylene-thiophene,0.3812799999999996,-1.8994560000000003,2.4521499999999996
conformer-0037,-169.48840890000002,phenylene-thiophene,0.35690399999999933,-1.8822360000000005,2.402
conformer-0038,-169.4883729,phenylene-thiophene,0.36376799999999976,-1.8840000000000003,2.4088
conformer-0039,-169.4880583,phenylene-thiophene,0.3600719999999997,-1.8902160000000006,2.41305
conformer-0040,-169.48784530000003,phenylene-thiophene,0.3661439999999997,-1.8913920000000004,2.42835
conformer-0041,-169.4870688,phenylene-thiophene,0.3863839999999994,-1.9154160000000002,2.48275
conformer-0042,-169.4880113,phenylene-thiophene,0.36587999999999954,-1.8887880000000004,2.4223999999999997
conformer-0043,-169.4882749,phenylene-thiophene,0.37274399999999996,-1.8829080000000002,2.41985
conformer-0044,-169.4884095,phenylene-thiophene,0.3567279999999997,-1.8807240000000003,2.4003
conformer-0045,-169.487295,phenylene-thiophene,0.37670399999999926,-1.9025640000000004,2.453
conformer-0046,-169.4880735,phenylene-thiophene,0.3627119999999999,-1.8838320000000004,2.41135
conformer-0047,-169.4881459,phenylene-thiophene,0.36042399999999974,-1.8861000000000003,2.4147499999999997
conformer-0048,-169.4868686,phenylene-thiophene,0.36887199999999953,-1.9039080000000002,2.4351499999999997
conformer-0049,-169.4882795,phenylene-thiophene,0.35796000000000006,-1.8870240000000005,2.4088
conformer-0050,-169.48823080000003,phenylene-thiophene,0.35743199999999964,-1.8851760000000002,2.4053999999999998
conformer-0051,-169.4880547,phenylene-thiophene,0.3657919999999998,-1.8899640000000002,2.42495
conformer-0052,-169.4881004,phenylene-thiophene,0.35928000000000004,-1.8862680000000003,2.4096499999999996
conformer-0053,-169.4881882,phenylene-thiophene,0.3625359999999995,-1.8845880000000002,2.4071000000000002
conformer-0054,-169.4883692,phenylene-thiophene,0.3622719999999994,-1.8839160000000001,2.4105
