ID,Energy,Comp,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
conformer-0357,-185.5062594,phenylene-diazine,1.2413919999999998,-1.4368680000000003,2.9171000000000005
conformer-0358,-185.5065661,phenylene-diazine,1.2438559999999996,-1.4360280000000003,2.9256
conformer-0359,-185.5059581,phenylene-diazine,1.2491359999999998,-1.448124,2.94685
conformer-0360,-185.5055119,phenylene-diazine,1.2394559999999997,-1.4324160000000001,2.912
conformer-0361,-185.5063154,phenylene-diazine,1.2412159999999994,-1.4329200000000006,2.91625
conformer-0362,-185.50468080000002,phenylene-diazine,1.2350559999999997,-1.429392,2.8983999999999996
conformer-0363,-185.50673390000003,phenylene-diazine,1.2442959999999994,-1.4344320000000004,2.92305
conformer-0364,-185.506849,phenylene-diazine,1.2427119999999998,-1.4342640000000002,2.9213500000000003
conformer-0365,-185.50628319999998,phenylene-diazine,1.2499279999999995,-1.4522400000000002,2.9459999999999997
conformer-0366,-185.5065059,phenylene-diazine,1.2415679999999993,-1.4316600000000004,2.91455
conformer-0367,-185.50505139999999,phenylene-diazine,1.239632,-1.4316600000000004,2.90945
conformer-0368,-185.5060567,phenylene-diazine,1.241304,-1.4309880000000001,2.9103
conformer-0369,-185.5062801,phenylene-diazine,1.2568799999999998,-1.4633280000000002,2.9748999999999994
conformer-0370,-185.5066491,phenylene-diazine,1.2444719999999996,-1.4378760000000002,2.92645
conformer-0371,-185.5070703,phenylene-diazine,1.2421839999999995,-1.4307360000000005,2.9153999999999995
conformer-0372,-185.5047207,phenylene-diazine,1.237608,-1.4312400000000003,2.9034999999999997
conformer-0373,-185.5071021,phenylene-diazine,1.2442079999999995,-1.4346840000000005,2.9213500000000003
conformer-0374,-185.5059655,phenylene-diazine,1.2465839999999995,-1.4453520000000002,2.9366499999999998
conformer-0375,-185.5066981,phenylene-diazine,1.246408,-1.4401440000000005,2.92815
conformer-0376,-185.50566819999997,phenylene-diazine,1.2431519999999996,-1.4392200000000004,2.92305
conformer-0377,-185.5069085,phenylene-diazine,1.2476399999999994,-1.4424960000000002,2.9366499999999998
conformer-0378,-185.506783,phenylene-diazine,1.244648,-1.4377080000000002,2.9273
conformer-0379,-185.5063112,phenylene-diazine,1.2422719999999994,-1.4337600000000004,2.91795
conformer-0380,-185.5059343,phenylene-diazine,1.2444719999999996,-1.4409,2.9273
conformer-0381,-185.50653400000002,phenylene-diazine,1.2421839999999995,-1.4357760000000002,2.91795
conformer-0382,-185.50610269999999,phenylene-diazine,1.2551199999999998,-1.4634960000000006,2.9732
conformer-0383,-185.5058131,phenylene-diazine,1.249752,-1.4547600000000003,2.9545
conformer-0384,-185.5063315,phenylene-diazine,1.2414799999999997,-1.4317440000000001,2.9137
conformer-0385,-185.5064625,phenylene-diazine,1.2563519999999992,-1.4612280000000002,2.9715
conformer-0386,-185.5063858,phenylene-diazine,1.2413919999999998,-1.4317440000000001,2.9137
