ID,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
000000001111_lowest-conformer,0.08674399999999977,-1.7600160000000002,2.0348
000000010111_lowest-conformer,0.10592799999999963,-1.7790000000000004,2.0756
000000011011_lowest-conformer,0.12273599999999951,-1.7832000000000003,2.09005
000000011101_lowest-conformer,0.13787199999999944,-1.7721960000000003,2.08835
000000011110_lowest-conformer,0.13391199999999925,-1.7750520000000003,2.0824
000000100111_lowest-conformer,0.13039199999999967,-1.7828640000000004,2.10535
000000101011_lowest-conformer,0.1442959999999993,-1.7837880000000004,2.1368
000000101101_lowest-conformer,0.14561599999999936,-1.7992440000000003,2.13
000000101110_lowest-conformer,0.15063199999999938,-1.793028,2.11725
000000110011_lowest-conformer,0.14772799999999991,-1.8295680000000005,2.15635
000000110101_lowest-conformer,0.15098399999999934,-1.8278880000000002,2.1793
000000110110_lowest-conformer,0.17043199999999936,-1.8157080000000003,2.1546499999999997
000000111001_lowest-conformer,0.16409600000000008,-1.8313320000000004,2.1716499999999996
000000111010_lowest-conformer,0.15388799999999964,-1.8421680000000002,2.16655
000000111100_lowest-conformer,0.17236799999999952,-1.8245280000000001,2.1529499999999997
000001000111_lowest-conformer,0.16083999999999982,-1.7710200000000003,2.13765
000001001011_lowest-conformer,0.15819999999999973,-1.8008400000000002,2.1758999999999995
000001001101_lowest-conformer,0.166472,-1.8154560000000002,2.1742
000001001110_lowest-conformer,0.18195999999999984,-1.8104160000000002,2.16315
000001010011_lowest-conformer,0.18099199999999976,-1.8023520000000004,2.1929
000001010101_lowest-conformer,0.1860959999999996,-1.8173880000000004,2.2268999999999997
000001010110_lowest-conformer,0.19304799999999978,-1.8262080000000005,2.21075
000001011001_lowest-conformer,0.19392799999999932,-1.8272160000000004,2.2047999999999996
000001011010_lowest-conformer,0.19075999999999965,-1.840572,2.2167
000001011100_lowest-conformer,0.19841599999999981,-1.8411600000000004,2.19205
000001100011_lowest-conformer,0.1888239999999995,-1.8325080000000002,2.22265
000001100101_lowest-conformer,0.20721599999999962,-1.8317520000000003,2.2523999999999997
000001100110_lowest-conformer,0.2021119999999998,-1.8513240000000004,2.2252
000001101001_lowest-conformer,0.20475199999999988,-1.8425040000000001,2.2634499999999997
000001101010_lowest-conformer,0.21900799999999948,-1.8507360000000004,2.2711
000001101100_lowest-conformer,0.2329999999999997,-1.8518280000000005,2.2396499999999997
000001110001_lowest-conformer,0.19304799999999978,-1.8611520000000004,2.2456000000000005
000001110010_lowest-conformer,0.20783199999999974,-1.8734160000000004,2.2523999999999997
000001110100_lowest-conformer,0.22340799999999938,-1.8741720000000002,2.25835
000001111000_lowest-conformer,0.2037839999999998,-1.8882000000000003,2.24475
000010000111_lowest-conformer,0.16066399999999947,-1.7805960000000005,2.1385
000010001011_lowest-conformer,0.17782399999999932,-1.7937000000000005,2.18355
000010001101_lowest-conformer,0.21663199999999955,-1.8089880000000003,2.2319999999999998
000010001110_lowest-conformer,0.191288,-1.8250320000000002,2.198
000010010011_lowest-conformer,0.1816959999999997,-1.8189840000000002,2.2201
000010010101_lowest-conformer,0.21759999999999963,-1.7982360000000004,2.2388
